config_id,mean_loss,mean_accuracy,std_accuracy,max_hidden_units,use_bias,weight_init,learning_rate,batch_size,max_epochs,seed,training_time,fold_accuracies,fold_losses
37,0.5607004734952769,71.00271002710026,3.6560264399002858,5,True,he,0.05,8,200,42,0.3041973114013672,"['66.67%', '70.73%', '75.61%']","['0.573829', '0.507962', '0.600311']"
38,0.56020552293987,70.18970189701896,2.682789955721323,5,True,he,0.05,8,300,42,0.40157532691955566,"['66.67%', '70.73%', '73.17%']","['0.572594', '0.508110', '0.599912']"
39,0.5632026456323459,71.81571815718156,3.7746309694265947,5,True,he,0.05,16,200,42,0.25469970703125,"['66.67%', '73.17%', '75.61%']","['0.575804', '0.512276', '0.601527']"
40,0.5681315415153644,70.98335269066978,3.285847277754422,5,True,he,0.05,16,300,42,0.21749520301818848,"['69.05%', '75.61%', '68.29%']","['0.572137', '0.520220', '0.612037']"
41,0.5608791885697122,66.91831204026326,4.257998054915746,5,True,he,0.1,8,200,42,0.30406713485717773,"['69.05%', '70.73%', '60.98%']","['0.576335', '0.509260', '0.597042']"
42,0.559368383367385,71.00271002710026,3.6560264399002858,5,True,he,0.1,8,300,42,0.4322926998138428,"['66.67%', '70.73%', '75.61%']","['0.574060', '0.506864', '0.597181']"
43,0.5589082298470062,72.62872628726286,5.7997112626104945,5,True,he,0.1,16,200,42,0.25053834915161133,"['66.67%', '70.73%', '80.49%']","['0.572540', '0.509671', '0.594514']"
44,0.559170161858737,66.93766937669376,2.993322768885438,5,True,he,0.1,16,300,42,0.23123764991760254,"['66.67%', '70.73%', '63.41%']","['0.572540', '0.507336', '0.597635']"
45,0.5662537572177899,69.37669376693766,1.9162785398009476,5,True,he,0.2,8,200,42,0.3011040687561035,"['66.67%', '70.73%', '70.73%']","['0.580843', '0.513135', '0.604782']"
46,0.5636279504562373,67.73132017034457,3.1288306651949074,5,True,he,0.2,8,300,42,0.41774463653564453,"['69.05%', '63.41%', '70.73%']","['0.580839', '0.508828', '0.601217']"
47,0.5620610739629925,68.58304297328688,3.038670255970063,5,True,he,0.2,16,200,42,0.2660501003265381,"['64.29%', '70.73%', '70.73%']","['0.583411', '0.508472', '0.594300']"
48,0.5595925662874116,66.12466124661246,4.001307062393876,5,True,he,0.2,16,300,42,0.3742237091064453,"['66.67%', '60.98%', '70.73%']","['0.575677', '0.506223', '0.596877']"
49,0.5603180390553733,66.93766937669376,4.982324203482449,6,True,xavier,0.05,8,200,42,0.3045773506164551,"['66.67%', '60.98%', '73.17%']","['0.573794', '0.507821', '0.599339']"
50,0.5602891507431061,69.35733643050717,8.96422345255819,6,True,xavier,0.05,8,300,42,0.4021472930908203,"['69.05%', '58.54%', '80.49%']","['0.572595', '0.508206', '0.600066']"
51,0.5624373532899143,66.12466124661246,5.986645537770875,6,True,xavier,0.05,16,200,42,0.2690150737762451,"['66.67%', '58.54%', '73.17%']","['0.575853', '0.510250', '0.601208']"
52,0.5747668081611447,68.54432830042587,5.984955358675031,6,True,xavier,0.05,16,300,42,0.1816389560699463,"['69.05%', '60.98%', '75.61%']","['0.574395', '0.543424', '0.606481']"
