config_id,final_loss,accuracy,accuracy_error,max_hidden_units,use_bias,weight_init_range,learning_rate,seed,training_time,actual_hidden_units
1,0.6238049543682749,0.6967592592592593,0.04334603194892665,3,True,"(-0.1, 0.1)",0.01,42,0.019986391067504883,1
2,0.6237904111408544,0.6898148148148148,0.04362053444917033,3,True,"(-0.1, 0.1)",0.01,123,0.01974034309387207,1
3,0.6237949870876627,0.6898148148148148,0.04362053444917033,3,True,"(-0.1, 0.1)",0.01,456,0.01975274085998535,1
4,0.565719275210415,0.6666666666666666,0.044453702739398415,3,True,"(-0.1, 0.1)",0.05,42,0.02595663070678711,1
5,0.5657192351686353,0.6643518518518519,0.044530277405614854,3,True,"(-0.1, 0.1)",0.05,123,0.025384187698364258,1
6,0.5657081235281353,0.6643518518518519,0.044530277405614854,3,True,"(-0.1, 0.1)",0.05,456,0.027263641357421875,1
7,0.44454887118860015,0.6666666666666666,0.044453702739398415,3,True,"(-0.1, 0.1)",0.1,42,0.03696846961975098,1
8,0.44454760231490303,0.6666666666666666,0.044453702739398415,3,True,"(-0.1, 0.1)",0.1,123,0.023712158203125,1
9,0.4445441453725665,0.6666666666666666,0.044453702739398415,3,True,"(-0.1, 0.1)",0.1,456,0.023340940475463867,1
10,0.6239264825993468,0.6875,0.043709471969068846,3,True,"(-0.5, 0.5)",0.01,42,0.0156705379486084,1
11,0.6231619951722964,0.6736111111111112,0.0442167178128923,3,True,"(-0.5, 0.5)",0.01,123,0.004999399185180664,0
12,0.6237174531705181,0.6666666666666666,0.044453702739398415,3,True,"(-0.5, 0.5)",0.01,456,0.02133464813232422,1
13,0.5657605165406066,0.6643518518518519,0.044530277405614854,3,True,"(-0.5, 0.5)",0.05,42,0.025206804275512695,1
14,0.5657543472617326,0.6458333333333334,0.0451001792709019,3,True,"(-0.5, 0.5)",0.05,123,0.02543950080871582,1
15,0.5657919884689392,0.6550925925925926,0.04482463925709305,3,True,"(-0.5, 0.5)",0.05,456,0.02598738670349121,1
16,0.4445693494907235,0.6643518518518519,0.044530277405614854,3,True,"(-0.5, 0.5)",0.1,42,0.023160457611083984,1
17,0.4445596590761311,0.6643518518518519,0.044530277405614854,3,True,"(-0.5, 0.5)",0.1,123,0.023340463638305664,1
18,0.4445440376406194,0.6666666666666666,0.044453702739398415,3,True,"(-0.5, 0.5)",0.1,456,0.024332761764526367,1
19,0.6229030131800043,0.6944444444444444,0.043438822481537555,3,True,"(-1.0, 1.0)",0.01,42,0.011226892471313477,0
20,0.6228723681832173,0.5972222222222222,0.04625033984477027,3,True,"(-1.0, 1.0)",0.01,123,0.015914440155029297,1
21,0.6237226635016205,0.6550925925925926,0.04482463925709305,3,True,"(-1.0, 1.0)",0.01,456,0.02117013931274414,1
22,0.56578850422549,0.6643518518518519,0.044530277405614854,3,True,"(-1.0, 1.0)",0.05,42,0.025340795516967773,1
23,0.5657303001020204,0.6203703703703703,0.04576355692366518,3,True,"(-1.0, 1.0)",0.05,123,0.02515101432800293,1
24,0.5657900231749485,0.6412037037037037,0.04523099950005266,3,True,"(-1.0, 1.0)",0.05,456,0.026348114013671875,1
25,0.4446251625802506,0.6597222222222222,0.04467983375412043,3,True,"(-1.0, 1.0)",0.1,42,0.022945404052734375,1
26,0.2979138149352,0.5601851851851852,0.046807444885269014,3,True,"(-1.0, 1.0)",0.1,123,0.002008199691772461,0
27,0.44455190006319806,0.6666666666666666,0.044453702739398415,3,True,"(-1.0, 1.0)",0.1,456,0.02459573745727539,1
46,0.6152653461978217,0.7060185185185185,0.04296177648388593,3,False,"(-1.0, 1.0)",0.01,42,0.014187335968017578,0
49,0.6527150410482294,0.6527777777777778,0.04489527486611558,3,False,"(-1.0, 1.0)",0.05,42,0.007636070251464844,0
55,0.6238049543682749,0.6967592592592593,0.04334603194892665,4,True,"(-0.1, 0.1)",0.01,42,0.01947784423828125,1
56,0.6237904111408544,0.6898148148148148,0.04362053444917033,4,True,"(-0.1, 0.1)",0.01,123,0.01888298988342285,1
57,0.6237949870876627,0.6898148148148148,0.04362053444917033,4,True,"(-0.1, 0.1)",0.01,456,0.02014303207397461,1
58,0.565719275210415,0.6666666666666666,0.044453702739398415,4,True,"(-0.1, 0.1)",0.05,42,0.025053977966308594,1
59,0.5657192351686353,0.6643518518518519,0.044530277405614854,4,True,"(-0.1, 0.1)",0.05,123,0.025025606155395508,1
60,0.5657081235281353,0.6643518518518519,0.044530277405614854,4,True,"(-0.1, 0.1)",0.05,456,0.025017976760864258,1
